"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Url","Mins_Per_90","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG_minus_GA","per_90","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","OPA_Sweeper","OPA_Sweeper_per_90","AvgDist_Sweeper","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","A_minus_xA","KP","Final_Third","PPA","CrsPA","Prog"
2022,"Alavés","La Liga","Antonio Sivera","ESP","GK","25-236",1996,"https://fbref.com/en/players/9970da54/Antonio-Sivera",2.1,3,2,187,2.1,3,1.44,9,7,77.8,0,1,1,1,50,1,1,0,0,0,3,1,0,1,0,2.1,0.13,-0.9,-0.44,22,56,39.3,44,4,77.3,54.6,28,78.6,58.2,31,6,19.4,1,0.48,11.2,38,72,52.8,1762,1374,3,3,100,10,10,100,25,59,42.4,0,0,0,0,2,0,0,0
2022,"Alavés","La Liga","Fernando Pacheco","ESP","GK","29-321",1992,"https://fbref.com/en/players/97852360/Fernando-Pacheco",26.9,27,27,2423,26.9,48,1.78,109,65,59.6,5,5,17,5,18.5,6,4,2,0,33.3,48,4,0,8,0,42.6,0.35,-5.4,-0.2,308,571,53.9,570,65,68.8,49.1,241,74.3,52.4,263,18,6.8,22,0.82,14.7,544,811,67.1,23716,18030,59,60,98.3,124,124,100,358,623,57.5,0,0.3,-0.3,2,27,2,0,0
2022,"Alavés","La Liga","Jesús Owono","EQG","GK","21-034",2001,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono",1,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0.7,0.16,-0.3,-0.35,9,21,42.9,20,2,90,60,3,100,75,4,0,0,2,2,15.7,11,23,47.8,557,454,0,0,NA,2,2,100,9,21,42.9,0,0,0,0,1,0,0,0
2022,"Angers","Ligue 1","Anthony Mandrea","FRA","GK","25-100",1996,"https://fbref.com/en/players/f7d3a773/Anthony-Mandrea",2,2,2,180,2,3,1.5,7,4,57.1,1,0,1,1,50,0,0,0,0,NA,3,0,0,0,0,2.2,0.31,-0.8,-0.42,13,30,43.3,25,6,56,45.7,18,88.9,64.4,22,1,4.5,0,0,11.2,25,43,58.1,1031,915,5,5,100,4,4,100,16,34,47.1,0,0,0,0,0,0,0,0
2022,"Angers","Ligue 1","Danijel Petkovic","MNE","GK","28-314",1993,"https://fbref.com/en/players/b98cea65/Danijel-Petkovic",15,15,15,1350,15,22,1.47,62,44,67.7,3,3,9,2,13.3,3,2,1,0,33.3,22,2,0,1,2,16.3,0.24,-3.7,-0.25,52,155,33.5,340,90,30.3,32.3,120,43.3,38.7,135,12,8.9,10,0.67,12.5,355,460,77.2,9544,4687,51,51,100,194,195,99.5,108,212,50.9,0,0,0,0,1,0,0,0
2022,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","24-351",1997,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni",13,13,13,1170,13,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0,19,3,2,6,0,14.1,0.27,-4.9,-0.37,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5,263,337,78,7909,4249,46,46,100,109,113,96.5,107,177,60.5,0,0,0,0,0,0,0,0
2022,"Arminia","Bundesliga","Stefan Ortega","GER","GK","29-149",1992,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega",27,27,27,2430,27,39,1.44,127,94,74.8,4,11,12,6,22.2,7,7,0,0,0,39,7,0,5,0,44.5,0.3,5.5,0.2,391,820,47.7,1140,65,58.1,46,253,62.5,49.8,252,9,3.6,30,1.11,16.1,947,1393,68,36520,25120,65,66,98.5,365,367,99.5,517,959,53.9,0,0.2,-0.2,3,69,7,0,3
2022,"Arminia","Bundesliga","Stefanos Kapino","GRE","GK","28-017",1994,"https://fbref.com/en/players/62ba5881/Stefanos-Kapino",1,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,0,0,0,0,0,1.5,0.37,1.5,1.48,8,19,42.1,21,2,52.4,41.1,10,80,51.2,22,0,0,1,1,14.8,20,31,64.5,738,455,0,0,NA,11,11,100,9,20,45,0,0,0,0,0,0,0,0
2022,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","23-325",1998,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale",24,24,24,2160,24,22,0.92,89,66,78.7,16,3,5,12,50,3,3,0,0,0,22,3,0,0,0,20.7,0.2,-1.3,-0.06,140,400,35,703,117,42,38,139,75.5,59,187,19,10.2,19,0.79,15.3,568,842,67.5,16746,10292,131,133,98.5,246,250,98.4,190,457,41.6,0,0,0,0,23,0,0,0
2022,"Arsenal","Premier League","Bernd Leno","GER","GK","30-031",1992,"https://fbref.com/en/players/2628fd2b/Bernd-Leno",4,4,4,360,4,9,2.25,19,9,52.6,1,0,3,1,25,0,0,0,0,NA,9,0,0,1,0,7.3,0.39,-1.7,-0.41,16,53,30.2,74,12,37.8,37.1,37,67.6,49.8,48,2,4.2,1,0.25,12.9,72,111,64.9,2043,1251,20,20,100,24,24,100,26,65,40,0,0,0,0,1,0,0,0
