"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP","W","D","L","GF","GA","GD","Pts","xG","xGA","xGD","xGD.90","Last.5","Attendance","Top.Team.Scorer","Goalkeeper","Notes"
"Premier League","M","ENG",2022,"Arsenal","team",5,28,17,3,8,44,31,13,54,43.1,34.2,9,0.32,"W W W L W",59533,"Emile Smith Rowe, Bukayo Saka - 9","Aaron Ramsdale",NA
"Premier League","M","ENG",2022,"Aston Villa","team",10,30,11,3,16,42,42,0,36,34.7,38,-3.2,-0.11,"W W L L L",41869,"Ollie Watkins - 8","Emiliano Martínez",NA
"Premier League","M","ENG",2022,"Brentford","team",14,31,9,6,16,37,48,-11,33,37.5,41.2,-3.6,-0.12,"L W W L W",16889,"Ivan Toney - 11","David Raya",NA
"Premier League","M","ENG",2022,"Brighton","team",13,30,7,13,10,26,36,-10,34,33.8,37.7,-3.8,-0.13,"L L L L D",30861,"Neal Maupay - 8","Robert Sánchez",NA
"Premier League","M","ENG",2022,"Burnley","team",19,28,3,12,13,22,40,-18,21,24,41.1,-17.1,-0.61,"D L L L L",18948,"Maxwel Cornet - 6","Nick Pope",NA
"Premier League","M","ENG",2022,"Chelsea","team",3,29,17,8,4,58,23,35,59,48.6,27,21.6,0.75,"W W W W L",38013,"Mason Mount - 8","Edouard Mendy",NA
"Premier League","M","ENG",2022,"Crystal Palace","team",12,29,7,13,9,39,38,1,34,34.9,34.2,0.7,0.02,"L W D W D",24440,"Wilfried Zaha - 9","Vicente Guaita",NA
"Premier League","M","ENG",2022,"Everton","team",17,28,7,4,17,30,49,-19,25,30.4,40.4,-10.1,-0.36,"L L L W L",38266,"Demarai Gray - 5","Jordan Pickford",NA
"Premier League","M","ENG",2022,"Leeds United","team",16,31,7,9,15,35,68,-33,30,40.5,56.8,-16.3,-0.52,"L L W W D",36306,"Raphael Dias Belloli - 9","Illan Meslier",NA
"Premier League","M","ENG",2022,"Leicester City","team",9,28,10,7,11,43,47,-4,37,38.7,47.7,-9,-0.32,"W W L W D",32228,"Jamie Vardy - 10","Kasper Schmeichel",NA
